"name","corridor","lower","upper","core"
"A1","low",0.3,0.8,"No"
"A1","medium",0.5,0.7,"No"
"A1","high",0.6,0.8,"No"
"A3","low",0,0.3,"Yes"
"A3","medium",0.1,0.9,"Yes"
"A3","high",0.3,1,"Yes"
"A5","low",0,0.3,"Yes"
"A5","medium",0.3,0.8,"Yes"
"A5","high",0.6,1,"Yes"
"A6","low",0,0.1,"No"
"A6","medium",0,0.1,"No"
"A6","high",0,0.2,"No"
"A8","low",0,0.5,"Yes"
"A8","medium",0,0.75,"Yes"
"A8","high",0.25,0.75,"Yes"
"A9","low",0,0.7,"Yes"
"A9","medium",0.1,0.9,"Yes"
"A9","high",0.3,1,"Yes"
"A10","low",0,0.4,"No"
"A10","medium",0.2,0.6,"No"
"A10","high",0.5,0.7,"No"
"A11","low",0.1,0.5,"Yes"
"A11","medium",0.3,0.7,"Yes"
"A11","high",0.5,0.9,"Yes"
"A12","low",0.1,0.3,"No"
"A12","medium",0.2,0.6,"No"
"A12","high",0.5,1,"No"
"A14","low",0.01,0.5,"Yes"
"A14","medium",0.01,0.99,"Yes"
"A14","high",0.5,0.99,"Yes"
