"years","SSP1-1.9","SSP1-2.6","SSP4-3.4","SSP5-3.4","SSP2-4.5","SSP4-6.0","SSP3-7.0","SSP5-8.5"
2016,0.976408622136829,0.976408694080437,0.976408305970523,0.976408410691671,0.976408462109614,0.97640835010278,0.976408175335436,0.976408433381276
2021,1.10387655949606,1.1012695856876,1.10035811746467,1.12732577249684,1.10719453427538,1.10035791988004,1.09266477083794,1.12685579305222
2026,1.25413156989603,1.24403516987782,1.25009467178905,1.31735265034758,1.25178474966691,1.24601605119124,1.23773927690404,1.31450669560604
2031,1.3445753002221,1.34076140687122,1.3522322077283,1.47619789408829,1.34963932287115,1.36190719544398,1.36232205629867,1.47037489945384
2036,1.39890485339907,1.43821752764297,1.45863074957046,1.66071752367441,1.47527767962608,1.50683254073034,1.51746985997264,1.65196197891001
2041,1.41680715832221,1.51739908926116,1.55707320448927,1.85900802333118,1.60554652536119,1.65574888787362,1.68028461502886,1.84764098500737
2046,1.39947810586995,1.55911701639111,1.63641305338025,2.05681716434802,1.72232457502111,1.79212870075613,1.83319194810939,2.04863052280581
2051,1.39800239957432,1.61151597833571,1.73591913575973,2.23765251830519,1.86320990027008,1.9525537893734,2.01599542813591,2.29335664913866
2056,1.35757633796791,1.62098441487552,1.79027273887148,2.30823955960267,1.96106632811383,2.0778433276449,2.17164688566285,2.51021595421796
2061,1.34056441949064,1.64747400649635,1.85967896363662,2.33909928955975,2.07345260600845,2.22287333443126,2.35588005155575,2.75450116823602
2066,1.30420794091059,1.64330148275648,1.89642271950614,2.29674188832828,2.15582896498973,2.34193495624983,2.52242779198928,2.98515678505331
2071,1.29798582701623,1.66008940163348,1.95317949210903,2.257726884916,2.26032307715181,2.48370536666557,2.72092108129584,3.25264785847941
2076,1.26477046732469,1.64107821018539,1.97314550580113,2.17757551880435,2.33127131332469,2.59305490626458,2.89345825242614,3.50324066259955
2081,1.24811633493175,1.63049005471293,2.00023201135699,2.11196350467519,2.41185371710923,2.71188758896984,3.08543113659719,3.77565159040933
2086,1.2281922152406,1.61131125132511,2.01933632490564,2.04798647145958,2.48347421981828,2.81826041816953,3.2788263950626,4.04327433625284
2091,1.1996445620597,1.58243444531029,2.02268428844001,1.9811250231434,2.54072242525911,2.9081567800083,3.46850502020873,4.2931211795627
2096,1.18795902086693,1.57197966744054,2.03169287373766,1.93518666318397,2.60394733969811,3.00308480405735,3.68071881304436,4.54843011900787
2101,1.15027360182485,1.5397475325438,2.00515113450314,1.86798193646615,2.63400055017157,3.06332354646417,3.87243406057656,4.7682945475993
2106,1.12357798216343,1.52335523761565,1.98580148232994,1.81991849694717,2.67069777901831,3.13030656014606,4.07812096688923,4.98926194898831
2111,1.08084816801495,1.49267521068734,1.94889529190332,1.75968700470812,2.68721784713907,3.1768589000481,4.25504162493632,5.17888627939191
2116,1.06249798957672,1.48644660411041,1.93487399313497,1.72447831385298,2.72479908104383,3.2436418218673,4.43944947600163,5.37717623943351
2121,1.02129746518081,1.45747809944431,1.89672475714948,1.66637896805085,2.73708506919597,3.28421434269725,4.58602662561121,5.53855046785294
2126,1.00755198297926,1.45607178145421,1.88475057116544,1.63541949922709,2.77477483045214,3.34931434167668,4.74753838084143,5.71467851065557
2131,0.967702470249993,1.42846124676452,1.84530207981054,1.57783968542724,2.78447639469542,3.38555295874521,4.8721929310754,5.85302628827068
2136,0.959108518471775,1.4321123909003,1.83583472315942,1.55116511366585,2.82387910892445,3.45058985842742,5.01880379810179,6.01193848710769
2141,0.915975199981227,1.40120830030344,1.7906261724875,1.48962458258394,2.82735216206531,3.47886157115934,5.12264194973999,6.12645655919832
2146,0.901776896789708,1.39887123973386,1.77334354228703,1.45754213163848,2.85788025320876,3.53336960560173,5.24748052668784,6.26007254253142
2151,0.873698104711454,1.3811873366437,1.74193428013348,1.4157055075584,2.87059682717754,3.56925011199649,5.34890320294879,6.36837115360886
2156,0.872259879734198,1.38837044544331,1.73737651655538,1.40590228096329,2.90547411955541,3.62659018704726,5.46731286144373,6.49189557220339
2161,0.85309426810552,1.37609242278836,1.71595130894708,1.38401318159003,2.91819431023692,3.66136474265315,5.55932241211274,6.58724846047527
2166,0.854114995000737,1.38239842472757,1.7157157870098,1.38780285155922,2.94682923386434,3.71174556268512,5.66363345235789,6.69346347893987
2171,0.837384849612321,1.36939341302067,1.69861973861103,1.37903358454174,2.95354328717844,3.73992426006049,5.74263361374578,6.77338094854751
2176,0.83770294418283,1.3719589723167,1.69948579193291,1.39073761181292,2.97323888728287,3.78075798220676,5.83133381908572,6.86221356565771
2181,0.831486179923826,1.36655440582478,1.69469583614813,1.39337085175807,2.9824807033262,3.81077313232467,5.90640482863363,6.93664797428575
2186,0.818421461630802,1.35291203769016,1.68392145776066,1.38484767196681,2.98101540551781,3.82973695679386,5.96776711391682,6.99670798187532
2191,0.834991052433803,1.36757108238576,1.70362458898758,1.40183838803079,3.00536654575075,3.87416492288796,6.05203815306072,7.07902418345507
2196,0.828732302787207,1.35852599616011,1.70118109313188,1.39326541586105,3.00375687841694,3.89228409741773,6.1076213040466,7.13199112368468
