runs;prev_run;dim;stochastic;theta;rho1y;T;pi3;pi2;id_climate;draws;scenario
1;0;1;0;1.5;0.015;100;0;0;0;0;1
2;1;3;0;1.5;0.015;100;2;0.00236;0;0;1
3;2;3;0;1.5;0.015;100;2;0.00236;1;0;1
4;2;3;1;1.5;0.015;100;2;0.00236;0;10000;1
5;2;3;1;1.5;0.015;100;2;0.00236;1;10000;1
6;2;3;2;1.5;0.015;100;2;0.00236;1;100000;1
7;1;3;0;1.5;0.015;100;2;0.00236;0;0;2
8;7;3;0;1.5;0.015;100;2;0.00236;1;0;2
9;7;3;1;1.5;0.015;100;2;0.00236;0;10000;2
10;7;3;1;1.5;0.015;100;2;0.00236;1;10000;2
11;7;3;2;1.5;0.015;100;2;0.00236;1;100000;2
12;1;3;0;1.5;0.015;100;2;0.00236;0;0;3
13;12;3;0;1.5;0.015;100;2;0.00236;1;0;3
14;12;3;1;1.5;0.015;100;2;0.00236;0;10000;3
15;12;3;1;1.5;0.015;100;2;0.00236;1;10000;3
16;12;3;2;1.5;0.015;100;2;0.00236;1;100000;3
